CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1088401,IPO,Asset Servicing Corp,"Rockwell, TX",,OTC BB,1999-06-10,1,1,$1.00 mil.,
1088316,IPO,Busybox.Com Inc,"San Francisco, CA",BUSY,Nasdaq NM,1999-06-09,5,5,$10.3 mil.,Barron Chase Securities
1087146,IPO,Jade Financial Corp,"Feasterville, PA",IGAF,Nasdaq SC,1999-06-08,10,10,$19.8 mil.,"Keefe, Bruyette & Woods"
1087322,IPO,Luminant Worldwide (Clarant Worldwide Corp),"Dallas, TX",LUMT,Nasdaq NM,1999-06-08,15,17,$175.0 mil.,"Deutsche Bank Securities, Chase H&Q, SoundView Financial Group Inc., FBR, E InvestmentBank"
1087831,IPO,PurchasePro.Com Inc,"Las Vegas, NV",PPRO,Nasdaq NM,1999-06-08,11,13,$57.5 mil.,"Prudential Securities, Jefferies, E InvestmentBank"
1003607,IPO,AltiGen Communications Inc,"Fremont, CA",ATGN,Nasdaq NM,1999-06-07,10,12,$51.8 mil.,"CIBC World Markets, Dain Rauscher Wessels, FAC/Equities"
1085866,IPO,DSL.net Inc.,"New Haven, CT",DSLN,Nasdaq NM,1999-06-07,7.5,8.5,$115.0 mil.,"Donaldson Lufkin & Jenrette, Deutsche Bank Securities, Deutsche Bank Securities, DLJ Direct, FBR"
1087423,IPO,Red Hat Inc,"Durham, NC",RHAT,Nasdaq NM,1999-06-07,12,14,$96.6 mil.,"Goldman Sachs & Co., Thomas Weisel Partners LLC, E*TRADE Securities, FBR"
1087743,IPO,Powerize Com Inc,"Linthicum, MD",POWZ,Nasdaq NM,1999-06-07,10,12,$28.8 mil.,"Ferris Baker Watts Inc., Ryan, Lee & Co"
1087782,IPO,Perfumania.com Inc,"Miami, FL",PF,NYSE/Amex,1999-06-07,7,9,$28.6 mil.,"Cruttenden Roth Inc., Penn Merchant Group"
1087943,IPO,yesmail.com Inc,"Vernon Hills, IL",YESM,Nasdaq NM,1999-06-07,10,12,$46.0 mil.,"Deutsche Bank Securities, Thomas Weisel Partners LLC, Volpe Brown Whelan & Co., DLJ Direct, E InvestmentBank"
0,IPO,Internet Gold,"Rosh Haain, ISRAEL",IGLD,Nasdaq NM,1999-06-06,11,13,N/A,Lehman Brothers
1054070,IPO,Duraswitch Industries Inc,"Mesa, AZ",DRA,NYSE/Amex,1999-06-04,5,5,$23.0 mil.,Cruttenden Roth Inc.
1081182,IPO,Mortgage.Com Inc,"Plantation, FL",MDCM,Nasdaq NM,1999-06-02,8,-,$112.1 mil.,"Credit Suisse, Deutsche Bank Securities, Piper Jaffray"
1038083,IPO,Tickets.com Inc,"Newport Beach, CA",TIXX,Nasdaq SC,1999-06-01,10,12,$75.0 mil.,"Morgan Stanley, Credit Suisse, Cowen, E*TRADE Securities, Wit Soundview"
1087008,IPO,Orius Corp,"West Palm Beach, FL",ORIS,NYSE,1999-06-01,-,-,$250.0 mil.,"Credit Suisse, First Union Capital Markets, Suntrust Equitable Secur"
1084482,IPO,nFront Inc,"Norcross, GA",NFNT,Nasdaq NM,1999-06-01,9,11,N/A,"Chase H&Q, J.C. Bradford & Co., Raymond James, SoundView Financial Group Inc."
1084755,IPO,Ariba Inc,"Sunnyvale, CA",ARBA,Nasdaq NM,1999-06-01,20,22,N/A,"Morgan Stanley, Deutsche Bank Securities, Dain Rauscher Wessels, BofA Securities, E*TRADE Securities"
1037737,IPO,Quokka Sports Inc,"San Francisco, CA",QKKA,Nasdaq NM,1999-05-28,11,13,N/A,"BofA Securities, Lehman Brothers, Robertson Stephens, Wit Soundview"
1022509,IPO,Tumbleweed Software Corp,"Redwood City, CA",TMWD,Nasdaq NM,1999-05-28,12,14,$65.0 mil.,"Credit Suisse, Chase H&Q, ING Barings, WR Hambrecht + Co, LLC"
1048044,IPO,Continuus Software Corp,"Irvine, CA",CNSW,Nasdaq NM,1999-05-28,8,10,$40.5 mil.,"Piper Jaffray, CIBC World Markets"
1083318,IPO,Interactive Intelligence Inc,"Indianapolis, IN",ININ,Nasdaq NM,1999-05-28,11,13,$46.0 mil.,"BofA Securities, Chase H&Q, Piper Jaffray"
1084954,IPO,Compgeeks Inc,"Vista, CA",CGKS,Nasdaq NM,1999-05-28,9,11,$61.0 mil.,Everen Securities
1085770,IPO,Homestore.com Inc,"Thousand Oaks, CA",HOMS,Nasdaq NM,1999-05-28,18,20,$100.0 mil.,"Morgan Stanley, Donaldson Lufkin & Jenrette, BofA Securities, Robertson Stephens"
1087194,IPO,Mission Critical Software Inc,"Houston, TX",MCSW,Nasdaq NM,1999-05-28,14,16,$60.4 mil.,"Chase H&Q, Robertson Stephens, SoundView Financial Group Inc."
1087279,IPO,Opensite Technologies Inc,"Durham, NC",OPNS,Nasdaq NM,1999-05-28,13,15,$45.0 mil.,"Goldman Sachs & Co., Chase H&Q, SunTrust Robinson Humphrey, Wit Soundview"
1036290,IPO,Cobalt Group Inc,"Seattle, WA",CBLT,Nasdaq NM,1999-05-27,13,15,$86.3 mil.,"Robertson Stephens, Bear Stearns & Co., Wit Soundview"
1065633,IPO,Network Plus Corp,"Quincy, MA",NPLS,Nasdaq NM,1999-05-27,14,16,$143.8 mil.,"Goldman Sachs & Co., Bear Stearns & Co., Donaldson Lufkin & Jenrette, BofA Securities, Wit Soundview"
1085818,IPO,Garden.com Inc,"Austin, TX",GDEN,Nasdaq NM,1999-05-27,11,13,$57.5 mil.,"Chase H&Q, Robertson Stephens, Thomas Weisel Partners LLC, Wit Soundview, E*TRADE Securities"
1087243,IPO,Accrue Software Inc,"Fremont, CA",ACRU,Nasdaq NM,1999-05-27,8,10,$41.4 mil.,"Robertson Stephens, Thomas Weisel Partners LLC, E*TRADE Securities"
1079996,IPO,Quotesmith.com Inc,"Darien, IL",QUOT,Nasdaq NM,1999-05-26,9,11,$80.0 mil.,"Chase H&Q, UBS Financial Services Inc., ABN Amro Inc"
828064,IPO,Rockford Corp,"Tempe, AZ",ROFO,Nasdaq NM,1999-05-26,11,13,$46.0 mil.,"Dain Rauscher Wessels, McDonald & Company, Needham & Company"
1083276,IPO,Energy Liberty Unlimited Inc,"White Springs, FL",,,1999-05-26,17,17,$51.0 mil.,
1084827,IPO,NetIQ Corp,"Santa Clara, CA",NTIQ,Nasdaq NM,1999-05-26,11,13,$46.0 mil.,"Credit Suisse, Robertson Stephens, Chase H&Q, E*TRADE Securities"
1054422,IPO,U.S. Aggregates Inc,"San Mateo, CA",AGA,NYSE,1999-05-25,17,19,$150.0 mil.,"Deutsche Bank Securities, SunTrust Robinson Humphrey, Schroder & Co."
1086757,IPO,Braun Consulting Inc,"Chicago, IL",BRNC,Nasdaq NM,1999-05-25,7,9,$57.5 mil.,"Donaldson Lufkin & Jenrette, Salomon Smith Barney, Adams Harkness Hill, DLJ Direct"
1086939,IPO,NovaMed Inc. (formerly NovaMed Eyecare Inc),"Chicago, IL",NOVA,Nasdaq NM,1999-05-25,9,10,$100.0 mil.,"Donaldson Lufkin & Jenrette, Chase H&Q, William Blair & Co., DLJ Direct"
1011344,IPO,Packeteer Inc,"Cupertino, CA",PKTR,Nasdaq NM,1999-05-21,12,14,$55.2 mil.,"Robertson Stephens, Bear Stearns & Co., Dain Rauscher Wessels, E*TRADE Securities"
1080892,IPO,Generac Portable Products Inc,"Jefferson, WI",GPP,NYSE,1999-05-21,12,13,$126.5 mil.,"Morgan Stanley, Deutsche Bank Securities, Salomon Smith Barney"
1061384,IPO,Interactive Pictures Corp,"Oakridge, TN",IPIX,Nasdaq NM,1999-05-21,16,18,$57.5 mil.,"J.P. Morgan, Chase H&Q, Morgan Keegan & Co., Stephens, Inc."
1081630,IPO,HealthGate Data Corp,"Burlington, MA",HGAT,Nasdaq NM,1999-05-21,9,11,$63.5 mil.,"Cowen, BANC OF AMERICA SECURITI, Volpe Brown Whelan & Co."
1084869,IPO,1 800 Flowers Com Inc,"Westbury, NY",FLWS,Nasdaq NM,1999-05-21,16,18,$150.0 mil.,"Goldman Sachs & Co., Credit Suisse, Wit Soundview"
1086606,IPO,IXnet Inc,"New York, NY",EXNT,Nasdaq NM,1999-05-21,15,-,$185.4 mil.,"Donaldson Lufkin & Jenrette, Salomon Smith Barney, BofA Securities, First Union Capital Markets, Wessels Arnold & Henderson, DLJdirect Inc."
1086937,IPO,Cybergold Inc,"Berkeley, CA",CGLD,Nasdaq NM,1999-05-21,7,9,$46.0 mil.,"Cowen, CIBC World Markets, Volpe Brown Whelan & Co., E*TRADE Securities"
1086444,IPO,GreatFood.com Inc,"Seattle, WA",GTFD,Nasdaq NM,1999-05-20,10.5,13.5,$38.8 mil.,"WR Hambrecht + Co, LLC, Wells Fargo Securities"
1086600,IPO,Alliance Resource Partners LP,"Tulsa, OK",ARLP,Nasdaq NM,1999-05-20,19,21,$220.3 mil.,"Smith Barney, Morgan Stanley, A.G. Edwards & Sons, Lehman Brothers"
1086605,IPO,Hi Q Wason Inc,"Taipei, TAIWAN, PROVINCE OF CHINA",HIQW,Nasdaq NM,1999-05-20,7,7,$8.86 mil.,"Nutmeg Securities, R H Investment"
1086759,IPO,FTD.Com Inc,"Downers Grove, IL",EFTD,Nasdaq NM,1999-05-20,10,12,$90.0 mil.,"Bear Stearns & Co., Volpe Brown Whelan & Co., Thomas Weisel Partners LLC, E*TRADE Securities"
815508,IPO,Biopure Corp,"Cambridge, MA",BPUR,Nasdaq NM,1999-05-19,12,14,$86.3 mil.,"J.P. Morgan, Adams Harkness Hill, Robert W Baird & Co."
